name,red,green,blue,alpha,id
rib,191,67,98,255,245304691
dart,117,115,235,255,245498198
projection_screen,216,87,218,255,246492683
spray_can,194,91,220,255,247388807
cooked__diced__arepa,100,166,78,255,248338554
ruby,154,227,155,255,249146079
bottle_of_deicer,56,53,131,255,250295609
duck,168,55,230,255,250709512
bust,228,217,62,255,251202807
lemon_juice_bottle,95,60,251,255,252112832
radish,164,180,211,255,252207030
diced__quiche,120,150,82,255,252422035
flat_top_grill,231,248,157,255,253447603
quail_breast_raw,237,235,78,255,255021560
honing_steel,201,93,233,255,255582629
diced__ham_hock,190,82,194,255,256293845
pop,76,171,129,255,256518728
diced__peppermint,65,182,163,255,256536603
sage,214,178,242,255,257148941
diced__apricot,171,129,180,255,259777967
waffle,208,68,62,255,260366265
mace,237,132,93,255,260433373
half_french_fries,113,183,185,255,260544025
pop_case,192,139,140,255,261495157
bulldog_clip,113,192,253,255,262238226
lentil,87,50,247,255,262966747
diced__whole_garlic,51,248,241,255,262989821
life_jacket,101,177,183,255,263238607
power_washer,78,155,121,255,263556765
satchel,86,213,82,255,264419219
raspberry,152,197,74,255,264475818
beach_toy,199,126,195,255,265798342
stake,80,103,199,255,267961521
ceilings,98,177,244,255,267982429
diced__kielbasa,146,148,76,255,269639919
diced__tortilla_chip,247,122,51,255,269745151
jar_of_mayonnaise,193,99,205,255,269872096
diced__carrot,139,203,170,255,272003498
cilantro,131,246,96,255,272033253
sugar_cookie,154,178,159,255,272390446
basil,142,255,96,255,274053864
greenery,206,197,138,255,276527927
pea,122,86,239,255,276566714
pitcher,74,72,146,255,276599928
whiskey_stone,104,100,72,255,278102408
umbrella_rack,90,78,207,255,280680130
beer_glass,216,60,170,255,282224780
hitch,97,145,229,255,282234674
half_butter_cookie,245,111,103,255,282370553
tomato_sauce_jar,73,179,153,255,283484876
diced__baguet,109,128,112,255,284743343
sliced_papaya,207,83,241,255,286706573
cooked__soy_sauce,246,184,183,255,290429809
christmas_stocking,249,93,59,255,290913451
razor,250,50,73,255,291513667
flagpole,223,122,231,255,291915399
diced__tuna,67,174,235,255,292151728
stairs,58,185,227,255,294689274
goblet,172,198,63,255,296010335
rose,247,143,248,255,296584558
cooked__tomato_sauce,81,210,247,255,297356318
diaper,129,203,156,255,297404466
object,80,231,240,255,298104422
rubber_eraser,58,79,219,255,298444960
half_broccoli,134,89,233,255,299337148
chess_set,109,143,113,255,299526022
diced__blackberry,222,237,234,255,300157211
cooked__tomato_rice,111,178,74,255,302035162
half_sugar_cookie,55,124,231,255,302184152
cooked__diced__crayfish,57,100,187,255,302211807
cashew,83,134,250,255,302356956
motorcycle,172,170,197,255,302431108
nickel,64,117,85,255,303175397
cooked__diced__lamb,182,185,153,255,303218399
cooked__diced__zucchini,214,148,62,255,303343250
toast,66,177,151,255,303625375
diced__snapper,209,126,226,255,305719176
disinfectant,162,102,60,255,305802670
french_fries,255,144,138,255,306735415
mulch,221,213,140,255,307580383
cooked__diced__pie_crust,195,199,72,255,308781549
tassel,176,93,232,255,310005759
rice_cooker,207,166,167,255,310268359
jam,145,130,93,255,310746918
box_of_cream,111,113,139,255,311336870
cooked__white_wine,144,136,55,255,311361317
lollipop,62,121,217,255,313203911
curry_powder_shaker,80,73,151,255,313296217
ammonia_water_atomizer,153,159,110,255,313805811
cooked__cornbread_batter,59,90,232,255,314430114
bench_press_machine,128,193,114,255,314639960
seal,177,75,159,255,315319103
pillow,175,74,227,255,317995613
cigar,113,209,137,255,318024795
cooked__diced__coconut,72,153,50,255,318758927
oatmeal,61,97,232,255,319353974
spackle,157,156,250,255,320093968
boxed_router,218,76,123,255,320288091
graduated_cylinder,254,232,162,255,321147492
cooked__beef_broth,182,190,172,255,321692464
cooked__peanut_butter,87,225,129,255,322365616
white_chocolate,105,56,133,255,322683439
sunflower,123,231,251,255,323073331
corn_flake,242,213,169,255,323874332
hot_toddy,158,139,205,255,324712546
half_quiche,248,136,113,255,325063070
turnstile,114,51,178,255,325314247
wrapping_paper,202,255,235,255,325589424
bunchgrass,132,140,78,255,326287095
cooked__black_bean,209,224,234,255,326385516
cooked__diced__whole_garlic,56,222,250,255,327874835
diced__gooseberry,217,207,206,255,327909716
seashell,148,124,51,255,328291686
onion_powder_shaker,132,91,188,255,328554708
half_gooseberry,193,168,255,255,329110642
wooden_spoon,157,72,93,255,329383581
suitcase,91,135,237,255,329916134
diced__clove,91,207,174,255,331307617
granulated_sugar_sack,115,63,185,255,331651764
cooked__salt,202,81,55,255,331891302
lawn_mower,119,219,85,255,331975763
square_light,124,248,56,255,332040855
necktie,199,215,220,255,333789711
bottle_of_tomato_juice,100,223,177,255,333793765
cooked__diced__doughnut,142,67,183,255,334177452
debris,99,182,174,255,334794489
diced__apple,147,173,249,255,335706086
sesame_oil_bottle,185,122,75,255,335961367
pewter_teapot,103,192,197,255,336272780
menu,153,134,129,255,337079999
noodle,81,242,71,255,338537945
lampshade,95,255,152,255,338743191
feta_box,143,247,163,255,339868306
tomato_paste_can,243,82,55,255,340740199
pellet_food,129,123,53,255,341821417
half_pastry,191,158,113,255,343229559
glaze_bottle,251,172,245,255,344184056
half_mushroom,155,224,184,255,346473056
garage_door,121,113,80,255,346819316
sage_shaker,98,103,98,255,347227277
bottle_of_skin_cream,74,176,212,255,347889293
sunflower_seed,60,201,82,255,348136481
potato_masher,137,145,218,255,349567134
diced__pork,110,152,186,255,349925504
bottle_of_sage,127,200,241,255,350266429
diced__dried_apricot,235,56,147,255,350454688
donut,241,165,169,255,352261000
diced__frankfurter_bun,242,96,137,255,352767723
garden_umbrella,68,205,185,255,353969512
arborio_rice,216,246,255,255,354165479
diced__hazelnut,126,235,243,255,356431971
half_shiitake,234,130,244,255,356682446
cocoa,201,221,69,255,357325890
peppermint,102,250,170,255,358803502
cooked__diced__beet,119,92,190,255,359242497
half_hotdog_frank,99,106,65,255,359404865
cooked__diced__broccoli,63,81,124,255,359496728
diced__meat_loaf,114,172,153,255,359803900
refried_beans_can,102,147,64,255,360233927
hinged_jar,117,253,126,255,360597689
drying_rack,60,235,138,255,360679856
cooked__diced__leek,223,67,217,255,362553546
calculator,89,100,212,255,363402184
cooked__diced__bean_curd,136,137,63,255,363591144
shortening_carton,67,62,154,255,364200444
locker,66,50,255,255,364716429
half_cookie_dough,177,225,201,255,365604006
skateboard_deck,207,156,63,255,366394989
wreath,133,88,79,255,367289312
grease,252,156,189,255,368615843
half_steak,150,195,225,255,368910738
open_end_wrench,223,226,171,255,369180906
calendar,183,202,126,255,369189139
sparkler,185,223,197,255,369325990
cooked__diced__bratwurst,196,90,163,255,370497992
half_tortilla,85,87,244,255,372067453
hot_sauce,94,94,175,255,372585556
diced__bok_choy,204,145,130,255,372666795
booth,78,180,235,255,375190315
bagel,95,207,160,255,375303828
birdcage,238,171,189,255,375561307
cooked__diced__pizza,176,255,151,255,375857461
frying_pan,207,251,76,255,376219263
bookcase_top,114,224,127,255,376703403
cooked__diced__buttermilk_pancake,210,202,226,255,377520379
cooked__marinara,225,91,98,255,378625673
salt_bottle,236,165,146,255,379778325
diced__sweet_corn,117,203,236,255,379832040
half_enchilada,173,156,206,255,379933005
bottle_of_water,79,95,242,255,381004193
cooked__diced__chocolate_chip_cookie,254,168,184,255,382702634
cooked__clove,213,122,210,255,382939027
magazine_stand,179,143,93,255,384023420
cooked__diced__tenderloin,93,88,140,255,385985029
belt,168,196,143,255,386251507
half_banana_bread,88,115,126,255,386835018
floor_lamp,243,250,175,255,387264550
cooked__cake_mix,173,208,197,255,388092327
buret,188,251,219,255,392762427
table_knife,230,245,157,255,393431534
bookend,225,191,123,255,393776819
toilet_soap_bottle,77,166,81,255,394573984
canteen,54,162,86,255,394693194
cooked__diced__arugula,54,102,83,255,394813776
spinach,141,78,211,255,395270306
teapot,92,120,122,255,395416153
sauna_bench,237,110,188,255,395767492
cooked__diced__pomegranate,160,234,220,255,395990696
catsup,145,183,140,255,396322823
bottle_of_catsup,204,163,57,255,396445037
bottle_of_paint_remover,53,65,151,255,396988880
cooked__soya_milk,75,50,129,255,397085620
cooked__kidney_bean,69,109,148,255,398852541
cooked__lentil,225,224,123,255,400551610
diced__chocolate_biscuit,107,52,197,255,401089819
heap_of_gravel,189,79,171,255,401924162
pay_phone,89,104,97,255,402328608
snow_globe,161,251,136,255,402485050
pine_nut,250,64,195,255,403558021
blender,216,88,240,255,403628664
pillar,134,77,241,255,403699049
egg_white,236,224,82,255,404234414
leek,103,217,208,255,404324364
kettle,146,93,226,255,404609167
cooked__coffee_bean,158,191,100,255,404915295
can_of_coffee,86,157,150,255,406095091
cooked__diced__baguet,240,98,211,255,407447881
coffee_grinder,236,163,113,255,408897978
isopropanol_dispenser,119,125,62,255,410457041
bottle_of_vodka,125,99,242,255,410587086
cooked__diced__garlic_bread,206,209,221,255,410634819
cream_cheese,141,51,169,255,411042134
diced__omelet,173,78,91,255,413299348
bottle_of_lemon_sauce,214,82,73,255,413314536
baking_sheet,220,242,121,255,413568695
printer,105,210,234,255,414361306
mug,53,120,151,255,414861263
rectangular_light,61,69,230,255,415561691
test_tube_holder,58,254,58,255,416483092
cooked__diced__kiwi,215,101,170,255,417450299
pergola,170,170,102,255,418000597
jar_of_bath_salt,181,217,221,255,418666263
petite_marmite,55,240,69,255,418796652
elevator_door,170,56,166,255,418849915
paper_cup,181,137,94,255,419364421
multi_station_tabletop_sink,99,120,91,255,419727009
bottle_of_mustard,226,171,98,255,420521977
wall_clock,56,179,76,255,420859745
pack_of_pasta,148,117,189,255,421523772
boxed_cpu_board,53,204,161,255,421646037
stapler,244,213,61,255,423860505
french_press,201,185,100,255,424220009
cooked__diced__cauliflower,238,144,230,255,424578745
jukebox,183,238,127,255,424618416
pizza,124,100,229,255,426405728
half_pomelo,212,255,248,255,426788737
raincoat,253,174,192,255,428012083
cooked__diced__pizza_dough,86,131,171,255,429249373
hockey_stick,76,58,187,255,430440416
pistachio,208,187,65,255,431002219
cooked__diced__scone,69,101,53,255,431018245
cooked__diced__celery,89,116,79,255,431034407
tea_bag,104,151,115,255,432402570
diced__quail,228,236,216,255,432585583
bottle_of_cocoa,129,196,190,255,433360809
lorry,128,241,221,255,433402896
ashtray,245,225,200,255,436438227
soap_bottle,150,139,229,255,436612579
cooked__cottage_cheese,245,124,91,255,436917339
jug_of_milk,130,152,174,255,437146785
fennel,184,182,125,255,437250239
quartz,232,51,96,255,437403694
coatrack,102,233,79,255,437532773
bottle_of_garlic_sauce,187,79,123,255,438366494
game_console,202,230,114,255,439603579
sugar_syrup_bottle,65,72,234,255,440467464
cake_mix,238,120,80,255,440693308
bag_of_popcorn,231,252,248,255,441110840
diced__steak,235,152,125,255,442787364
cooked__allspice,80,136,214,255,443207146
veal,56,62,187,255,443601333
espresso,190,146,179,255,446523231
pottable_marigold,68,169,180,255,447419852
bottle_of_whiskey,130,143,138,255,447709318
wading_pool,82,170,224,255,448007586
bottle_of_cooking_oil,141,138,214,255,449189719
cooked__diced__hamburger_bun,153,88,94,255,449569352
address,75,89,115,255,449991530
ricotta,75,220,237,255,450653588
can_of_dog_food,231,58,137,255,450894029
magazine_rack,117,138,211,255,451323508
half_pork_rib,99,225,195,255,451575620
shrimp,152,97,135,255,453471548
sealant_atomizer,92,191,195,255,454187249
cooked__diced__venison,66,101,148,255,454193922
chaff,94,197,161,255,455612645
power_strip,238,64,142,255,456127721
tank,228,70,243,255,456307011
dessert_stand,83,220,102,255,456938290
diced__hip,211,194,129,255,457648331
bottle_of_lemon_juice,163,154,128,255,458159630
railing,189,139,211,255,458582354
vinegar,107,104,248,255,458805708
wineglass,120,82,251,255,459217777
parer,114,109,204,255,460241233
cooked__paprika,109,146,69,255,460836068
half_fried_chicken,56,226,164,255,463890685
diced__brussels_sprouts,227,171,166,255,465486874
risotto,167,221,96,255,467860695
cooked__egg_white,180,51,239,255,468004339
hook_rack,107,161,179,255,468229978
paper_towel,130,207,209,255,468506626
cooked__diced__gooseberry,125,65,246,255,468995795
cooked__diced__fennel,61,146,93,255,470000026
cooked__diced__macaroon,98,58,112,255,470072096
pressure_cooker,154,115,203,255,470819204
cooked__diced__french_fries,143,248,81,255,471226757
marjoram_shaker,114,237,200,255,471954642
hummus,151,73,190,255,472368490
squeeze_bottle,63,130,175,255,472520918
shovel,166,89,179,255,473372334
half_garlic_clove,252,122,136,255,474035040
brown_rice,143,109,186,255,474960689
diced__squid,61,144,63,255,475148552
asphalt,82,106,216,255,475364847
diced__hemp,138,138,249,255,476269833
sodium_carbonate,101,51,94,255,476851802
cooked__lamb_stew,175,100,118,255,477534889
cooked__shortening,211,109,171,255,478714139
box_of_granola_bars,231,254,207,255,478893006
backpack,54,220,166,255,478976270
box_of_candy,147,53,199,255,481786747
cooking_oil_bottle,219,114,157,255,482306657
cooked__oat,190,149,245,255,482712405
half_walnut,174,131,160,255,482952691
salmon,100,209,89,255,483145412
bottle_of_dish_soap,196,200,251,255,484154586
national_flag,218,188,138,255,484318876
soda_water_bottle,214,95,196,255,484697452
kabob,141,107,141,255,487061838
diced__tulip,130,220,225,255,487360535
skeletal_frame,61,194,83,255,487454957
fruit_punch,86,184,198,255,488748445
bottle_of_tonic,239,176,198,255,488838714
diced__sugar_cookie_dough,218,194,148,255,488929753
bottle_of_aspirin,59,98,123,255,491113663
vinegar_bottle,220,231,225,255,492611853
bandage,202,130,251,255,493145216
garden_statue,89,122,66,255,494555939
roof,235,124,246,255,494692616
diced__burrito,54,222,214,255,494741465
cooked__lima_bean,94,156,129,255,495541732
fairy_light,212,79,56,255,496417155
jerk_seasoning,226,207,81,255,496436167
cooked__brownie_batter,251,232,181,255,496611787
copper_pot,183,208,108,255,498306126
tablefork,166,146,161,255,498332655
holly_decoration,76,193,161,255,499853799
handle,168,80,54,255,501538701
bottle_of_wine,127,203,183,255,502698290
table_lamp,194,140,238,255,502714959
ice_bucket,255,200,84,255,503161120
cell_phone,54,77,104,255,504086693
soap_dish,185,141,164,255,504115310
putty_knife,153,71,70,255,505053182
sliced_watermelon,102,138,153,255,507414456
cooked__diced__steak,57,220,209,255,507613810
scum,211,67,214,255,508442011
patina,78,131,50,255,508703715
exercise_bike,217,205,186,255,509334979
ceramic_tile,206,175,200,255,509383377
beef_stew,155,229,130,255,509848383
bird_feed_bag,185,109,101,255,510272719
octopus,151,242,58,255,511578670
paper_liners,149,218,204,255,511722245
diced__plum,126,71,112,255,512205960
sawdust,184,187,125,255,512446511
pasta_server,153,85,206,255,513177064
bag_of_snacks,238,118,132,255,513518767
lab_exhaust_hood,205,90,135,255,513673872
cooked__sugar_syrup,133,234,168,255,515599954
melted__butter,226,88,83,255,516096962
half_prosciutto,56,215,83,255,517504559
house_paint,173,111,198,255,519249821
cooked__diced__snapper,229,170,121,255,519665650
measuring_cup,134,236,112,255,519917735
biscuit,92,110,253,255,520512664
sludge,85,190,64,255,521875914
half_cantaloup,251,142,173,255,522256512
cooked__cashew,143,111,250,255,522806809
sliced_brisket,92,99,164,255,525094616
cork,241,121,177,255,525131790
sliced_chocolate_cake,245,243,252,255,525334018
fire_sprinkler,62,131,89,255,526627669
pocketknife,209,145,233,255,526759473
portable_game_console,249,116,52,255,527799620
diced__carne_asada,209,117,219,255,528261513
flask_clamp,54,205,211,255,528866149
half_spice_cookie,81,239,215,255,529359156
half_fruitcake,186,227,118,255,529725094
half_chives,147,225,192,255,531280794
cooked__sage,207,174,150,255,531374218
half_pumpkin,124,209,177,255,531980678
granola_box,149,213,122,255,532669368
cardigan,247,79,67,255,533570933
diced__butter,181,69,88,255,533738226
doll,91,169,239,255,534272087
jelly_jar,110,223,89,255,534558369
hamster_wheel,116,242,211,255,535491258
diced__fillet,120,228,78,255,535868802
wall_mounted_sink,241,89,53,255,538103812
globe,89,236,155,255,540470379
